Name	ETHA	ISON	RIFM	RIFP	PYRA	STRE	CYCL	ETHI	PARA	AMIK	KANAM	CAPR	OFLO
G55413	2	2	2			2	1	1	1	2		2	2
G55414	2	2	2			2	1	1	1	2		2	1
G55415	2	2	2			2	1	1	1	2		2	2
G55416	2	2	2			2	1	2	1	2		2	1
G55417	2	2	2			2	2	1	2	2		2	2
G55418	2	2	2			2	2	1	2	1	2	1	2
G55419	2	2	2			2	1	1	1	2		2	2
G55421	2	2	2			2	1	2	1	2		2	1
G55422	2	2	2			2	2	1	2	2		2	2
G55423	2	2	2		2	2	1	1	1	2		2	2
G55424	2	2	2			2	1	1	1	1		1	1
G55425	2	2	2			2	1	1	1	1			1
G55426	2	2		2	2	2	1	1	2	1		1	2
G55427	2	2	2			2	2	1	2	2		2	2
G55428	2	2	2		2	2	2	2	1	1	2	2	1
G55429	1	1	1			1	1	1	1	1		1	1
G55430	2	2	2		2	2	2	2	2	2		2	2
G55431	2	2	2			2	2	2	1	2		2	2
G55432	2	2	2			2	1	2	1	2		2	2
G55433	2	2	2			2	2	1	1	1		1	2
G55435	2	2	2			2	2	1	1	2		2	2
G55436	1	1	1			2	1	1	1	1		1	1
G55438	2	2	2			2	1	2	1	2		2	2
G55439	1	1	1			2	1	1	1	1		1	1
G55440	2	2	2		2	2	1	1	1	1		1	2
G55441	2	2	2			2	1	1	1	1		1	2
G55442	2	2	2			2	2	2	2	2		2	2
G55443	1	1	1			1	1	1	1	1		1	1
G55444	2	2	2			2	1	2	1	1		1	1
G55445	1	1	1			1	1	1	1	1		1	1
G55446	2	2	2			2	2	1	1	2		2	2
G55447	2	2	2			2	2	2	1	1	2	2	2
G55448	2	2	2			2	2	1	1	2		2	2
G55449	2	2	2			2	2	1	1	2		2	2
G55450	2	2	2			2	1	2	1	2		2	2
G55451	2	2	2			2	1	1	1	2		2	2
G55452	2	2	2			2	1	2	1	2		2	2
G55453	2	2	2		2	2	1	2	1	2		2	1
G55454	2	2	2			2	2	2	1	2		2	2
G55455	2	2	2			2	2	1	1	2		2	2
G55457	2	2	2			2	1	1	1	2		2	2
G55458	2	2	2			2	1	1	1	2		2	2
G55459	1	2	2			2	1	1	1	1		1	1
G55460	2	2	2		2	2	1	1	1	2		2	2
G55461	2	2	2		2	2	1	2	2	2		2	2
G55462	2	2	2		2	2	2	1	2	1	2	1	1
G55463	1	1	1		1	1	1	1	1	1		1	1
G55464	2	2	2			2	1	2	2	1	2	2	2
G55465	2	2	2			2	2	2	2	2		2	2
G55466	1	1	1			1	1	1	1	1		1	1
G55467	2	2	2		2	2	2	2	1	1	2	2	2
G55468	1	1	1			1		1	1	1			1
G55469	2	2	2			2	1	1	1	2		2	2
G55471	2	2	2			2	1	1	1	2		2	2
G55472	1	1	1			1	1	1	1	1		1	1
G55473	2	2	2		2	2	1	1	1	1		1	1
G55475	1	1	1			1	1	1	1	1		1	1
G55476	1	1	1			1		1	1	1			1
G55477	2	2	2			2	2	1	2	2		2	2
G55478	2	2	2			2	2	2	1	2		2	2
G55479	2	2	2			2	1	1	1	1		1	1
G55480	2	2	2			2	1	1	1	2		2	2
G55481	2	2	2		2	2	2	2	1	1	2	1	1
G55482	1	1	1		1	1	1	1	1	1		1	1
G55484	2	2	2			2	2	2	1	2		2	2
G55485	1	1	1			1	1	1	1	1		1	1
G55486	2	2	2			2	2	1	2	2		2	2
G55487	1	1	1			1	1	1	1	1		1	1
G55488	2	2	2			2	1	1	2	1	2	1	1
G55489	1	1	1			1	1	1	1	1		1	1
G55490	2	2	2			2	1	1	1	2		2	2
G55491	2	2	2			2	1	1	1	2		2	2
G55492	2	2	2		2	2	1	1	1	1	1	1	2
G55493	2	2	2			2	2	1	1	1	2	1	1
G55494	2	2	2			2	1	2	2	1	2	2	2
G55495	2	2	2		2	2	2	1	1	2		2	2
