"","x"
"765",1
"1288",0
"1594",0
"1701",0
"1769",0
"1771",0
"1849",0
"1977",0
"4013",0
"4086",0
"4728",0
"6575",0
"6735",0
"7294",0
"7358",0
"7362",0
"7582",0
"7585",0
"7758",0
"8040",0
"9304",0
"9841",0
"10387",0
"10741",0
"10878",0
"11370",0
"11525",0
"11820",0
"11838",0
"11879",0
"13471",0
"13624",0
"14251",0
"14573",0
"14861",0
"15117",0
"15517",0
"16100",0
"16119",0
"16807",0
"17608",0
"17654",0
"17657",0
"19442",0
"21795",0
"22717",0
"23867",0
"24011",0
"24060",0
"24698",0
"24720",0
"24797",0
"24805",0
"25303",0
"25610",0
"25899",0
"26343",0
"26959",0
"27463",0
"27952",0
"28015",0
"28366",0
"28367",0
"28511",0
"28640",0
"29249",1
"29482",0
"30496",0
"30943",0
"31077",0
"31258",0
"31869",0
"33457",0
"33551",0
"33838",0
"33906",0
"34044",0
"34086",0
"34139",0
"34527",1
"34859",0
"34879",1
"34954",0
"35608",0
"36008",0
"36470",0
"37031",0
"37305",0
"37334",0
"37594",0
"37763",0
"37883",0
"38143",0
"38447",0
"38485",0
"38578",0
"39029",1
"39065",0
"39158",1
"40237",0
"40827",0
"41079",0
"41445",0
"41971",0
"42281",0
"42967",0
"43716",0
"43722",0
"44768",0
"47782",0
"48503",0
"48767",0
"49000",0
"49080",0
"49360",0
"49690",0
"49900",0
"50557",0
"51788",0
"51949",0
"51954",0
"52211",0
"52436",0
"53436",0
"54171",0
"54394",0
"54562",0
"55532",0
"55533",0
"55537",0
"55548",0
"55549",0
"55956",0
"56326",0
"56475",0
"57390",0
"58175",0
"61111",0
"61978",0
"62046",0
"62654",0
"63143",0
"63768",0
"63865",0
"65147",0
"65391",0
"66098",0
"66102",0
"66572",0
"68334",0
"68335",0
"68894",0
"69831",0
"69868",0
"70023",0
"70092",0
"70264",0
"70288",0
"70291",0
"70813",0
"70921",0
"71333",0
"71450",0
"71456",0
"71583",0
"73933",0
"74056",0
"75230",0
"75937",0
"76527",0
"77055",0
"78372",0
"78871",0
"79042",0
"79291",0
"79477",0
"79554",0
"80558",0
"80563",0
"80565",0
"80613",0
"81960",0
"81987",0
"82434",0
"83157",0
"83642",0
"83714",0
"83836",0
"83839",0
"83979",0
"84691",0
"84827",0
"84829",0
"85078",0
"86424",0
"86446",0
"87465",0
"89983",0
"90460",0
"90646",0
"92196",0
"94341",0
"94385",0
"96891",0
"96896",0
"97347",0
"99159",0
"101089",0
"101536",0
"103178",0
"103740",0
"103753",0
"103773",0
"103775",0
"103776",0
"103833",0
"103890",0
"103893",0
"104273",0
"104277",0
"104280",0
"104708",0
"104709",0
"104763",0
"104764",0
"104769",0
"104821",0
"104827",0
"104830",0
"104835",0
"104853",0
"104855",0
"104889",0
"104911",0
"104912",0
"104916",0
"104933",0
"104938",0
"104939",0
"104941",0
"104959",0
"105004",0
"105008",0
"105018",0
"105042",0
"105057",0
"105060",0
"105136",0
"105507",0
"105733",0
"105796",0
"107482",0
"107791",0
"108100",0
"111071",0
"112563",0
"118188",0
"118522",0
"119102",0
"119417",0
"120903",0
"122106",0
"122332",1
"122480",0
"123051",1
"123380",0
"123451",0
"123517",0
"124056",0
"124686",0
"125827",0
"125939",0
"126020",0
"127193",0
"127469",0
"130527",0
"130607",0
"130994",0
"131842",0
"132004",0
"132183",0
"133837",0
"133860",0
"134513",0
"135327",0
"136122",0
"136149",0
"136410",0
"137271",0
"139295",0
"139586",0
"141621",0
"143118",0
"143205",0
"143421",0
"146085",0
"146234",0
"146735",0
"147260",0
"147396",0
"147924",0
"149321",0
"149735",0
"150121",0
"150190",0
"150608",0
"150721",0
"150893",0
"150894",0
"150901",0
"151415",0
"152423",0
"152492",0
"152606",0
"152619",0
"152937",0
"153061",0
"153171",0
"153675",0
"153907",0
"154016",0
"154184",0
"154189",0
"154281",0
"154871",0
"154880",0
"155622",0
"155716",0
"156463",0
"156487",0
"156498",0
"157290",0
"157784",0
"158086",0
"159558",0
"160341",0
"160342",0
"161089",0
"161127",0
"161177",0
"161512",0
"161986",0
"162149",0
"162153",0
"162579",0
"162587",0
"163362",0
"163703",0
"163704",0
"164674",0
"164945",0
"165688",0
"166358",0
"166563",0
"166582",0
"169073",0
"169873",0
"171455",0
"171891",0
"173516",0
"177213",0
"177383",0
"177594",0
"177855",0
"178939",0
"178944",0
"179185",0
"180023",0
"180755",0
"180808",0
"182822",0
"183089",0
"186931",0
"187032",0
"187361",0
"187418",0
"187763",0
"188088",0
"188186",0
"188798",0
"190814",0
"192584",0
"192728",0
"194303",0
"194679",0
"195680",0
"196520",0
"196640",0
"196686",0
"197287",0
"198326",0
"199041",0
"199468",0
"201894",0
"201986",0
"202195",0
"202673",0
"203036",0
"203267",0
"204092",0
"204628",0
"204866",0
"205508",0
"206337",0
"206479",0
"206482",0
"207224",0
"207256",0
"208194",0
"208588",0
"210927",0
"210936",0
"211248",0
"211574",0
"212242",0
"212351",1
"213145",0
