"","x"
"765",1
"1288",1
"1594",1
"1701",1
"1769",1
"1771",1
"1849",1
"1977",1
"4013",1
"4086",1
"4728",1
"6575",1
"6735",1
"7294",1
"7358",1
"7362",1
"7582",1
"7585",1
"7758",1
"8040",1
"9304",1
"9841",1
"10387",1
"10741",1
"10878",1
"11370",1
"11525",1
"11820",1
"11838",1
"11879",1
"13471",1
"13624",1
"14251",1
"14573",1
"14861",1
"15117",1
"15517",1
"16100",1
"16119",1
"16807",1
"17608",1
"17654",1
"17657",1
"19442",1
"21795",1
"22717",1
"23867",1
"24011",1
"24060",1
"24698",1
"24720",1
"24797",1
"24805",1
"25303",1
"25610",1
"25899",1
"26343",1
"26959",1
"27463",1
"27952",1
"28015",1
"28366",1
"28367",1
"28511",1
"28640",1
"29249",1
"29482",1
"30496",1
"30943",1
"31077",1
"31258",1
"31869",1
"33457",1
"33551",1
"33838",1
"33906",1
"34044",1
"34086",1
"34139",1
"34527",1
"34859",1
"34879",1
"34954",1
"35608",1
"36008",1
"36470",1
"37031",1
"37305",1
"37334",1
"37594",1
"37763",1
"37883",1
"38143",1
"38447",1
"38485",1
"38578",1
"39029",1
"39065",1
"39158",1
"40237",1
"40827",1
"41079",1
"41445",1
"41971",1
"42281",1
"42967",1
"43716",1
"43722",1
"44768",1
"47782",1
"48503",1
"48767",1
"49000",1
"49080",1
"49360",1
"49690",1
"49900",1
"50557",1
"51788",1
"51949",1
"51954",1
"52211",1
"52436",1
"53436",1
"54171",1
"54394",1
"54562",1
"55532",1
"55533",1
"55537",1
"55548",1
"55549",1
"55956",1
"56326",1
"56475",1
"57390",1
"58175",1
"61111",1
"61978",1
"62046",1
"62654",1
"63143",1
"63768",1
"63865",1
"65147",1
"65391",1
"66098",1
"66102",1
"66572",1
"68334",1
"68335",1
"68894",1
"69831",1
"69868",1
"70023",1
"70092",1
"70264",1
"70288",1
"70291",1
"70813",1
"70921",1
"71333",1
"71450",1
"71456",1
"71583",1
"73933",1
"74056",1
"75230",1
"75937",1
"76527",1
"77055",1
"78372",1
"78871",1
