"","x"
"698",1
"765",0
"1288",0
"1393",0
"1594",0
"1701",0
"1769",0
"1771",0
"1849",0
"1977",0
"2251",0
"2423",0
"3193",0
"4013",0
"4086",0
"4728",0
"4775",0
"6039",0
"6575",0
"6579",0
"6620",0
"6735",0
"6738",0
"7088",0
"7294",0
"7358",0
"7362",0
"7570",0
"7572",0
"7581",0
"7582",0
"7585",0
"7758",0
"8040",0
"9304",0
"9841",0
"10387",0
"10580",0
"10741",0
"10878",0
"11370",0
"11525",0
"11746",0
"11820",0
"11838",0
"11879",0
"12398",0
"13228",0
"13471",0
"13515",0
"13624",0
"13629",0
"14094",0
"14105",0
"14251",0
"14573",0
"14658",0
"14859",0
"14861",0
"14982",0
"15117",0
"15159",0
"15517",0
"16089",0
"16100",0
"16119",1
"16807",0
"17608",0
"17654",0
"17657",0
"17922",0
"18540",0
"19442",0
"20528",0
"21795",0
"22717",0
"23237",0
"23867",0
"24011",0
"24060",1
"24538",0
"24698",1
"24716",0
"24719",0
"24720",0
"24797",0
"24805",0
"25303",0
"25556",0
"25610",0
"25899",0
"26343",0
"26959",0
"27463",0
"27804",0
"27952",0
"28015",1
"28037",0
"28206",1
"28366",0
"28367",0
"28511",0
"28640",0
"28859",0
"28972",0
"29249",0
"29482",0
"30496",0
"30688",0
"30943",0
"31077",0
"31258",0
"31869",0
"32349",0
"32350",0
"32641",0
"33457",0
"33551",0
"33838",0
"33906",0
"34044",0
"34086",0
"34139",0
"34527",0
"34859",0
"34879",0
"34954",0
"35484",0
"35488",0
"35608",0
"35978",0
"36008",0
"36318",0
"36470",0
"36967",0
"37031",0
"37305",0
"37334",0
"37341",0
"37387",0
"37484",0
"37545",0
"37594",0
"37600",0
"37763",0
"37883",0
"37971",0
"38002",0
"38060",0
"38077",0
"38117",0
"38124",0
"38143",0
"38145",0
"38226",0
"38273",0
"38311",0
"38360",0
"38447",0
"38485",0
"38520",0
"38523",0
"38574",0
"38578",0
"38600",0
"38619",0
"38645",0
"38685",0
"38793",0
"38850",0
"39021",0
"39029",0
"39030",0
"39065",0
"39158",0
"39941",0
"40085",0
"40104",0
"40237",0
"40341",0
"40516",0
"40607",0
