"","x"
"698",1
"765",1
"1288",1
"1393",1
"1594",1
"1701",1
"1769",1
"1771",1
"1849",1
"1977",1
"2251",1
"2423",1
"3193",1
"4013",1
"4086",1
"4728",1
"4775",1
"6039",1
"6575",1
"6579",1
"6620",1
"6735",1
"6738",1
"7088",1
"7294",1
"7358",1
"7362",1
"7570",1
"7572",1
"7581",1
"7582",1
"7585",1
"7758",1
"8040",1
"9304",1
"9841",1
"10387",1
"10580",1
"10741",1
"10878",1
"11370",1
"11525",1
"11746",1
"11820",1
"11838",1
"11879",1
"12398",1
"13228",1
"13471",1
"13515",1
"13624",1
"13629",1
"14094",1
"14105",1
"14251",1
"14573",1
"14658",1
"14859",1
"14861",1
"14982",1
"15117",1
"15159",1
"15517",1
"16089",1
"16100",1
"16119",1
"16807",1
"17608",1
"17654",1
"17657",1
"17922",1
"18540",1
"19442",1
"20528",1
"21795",1
"22717",1
"23237",1
"23867",1
"24011",1
"24060",1
"24538",1
"24698",1
"24716",1
"24719",1
"24720",1
"24797",1
"24805",1
"25303",1
"25556",1
"25610",1
"25899",1
"26343",1
"26959",1
"27463",1
"27804",1
"27952",1
"28015",1
"28037",1
"28206",1
"28366",1
"28367",1
"28511",1
"28640",1
"28859",1
"28972",1
"29249",1
"29482",1
"30496",1
"30688",1
"30943",1
"31077",1
"31258",1
"31869",1
"32349",1
"32350",1
"32641",1
"33457",1
"33551",1
"33838",1
"33906",1
"34044",1
"34086",1
"34139",1
"34527",1
"34859",1
"34879",1
"34954",1
"35484",1
"35488",1
"35608",1
"35978",1
"36008",1
"36318",1
"36470",1
"36967",1
"37031",1
"37305",1
"37334",1
"37341",1
"37387",1
"37484",1
"37545",1
"37594",1
"37600",1
"37763",1
"37883",1
"37971",1
"38002",1
"38060",1
"38077",1
"38117",1
"38124",1
"38143",1
"38145",1
"38226",1
"38273",1
"38311",1
"38360",1
"38447",1
"38485",1
"38520",1
"38523",1
"38574",1
"38578",1
"38600",1
"38619",1
"38645",1
"38685",1
"38793",1
"38850",1
"39021",1
"39029",1
"39030",1
"39065",1
"39158",1
"39941",1
"40085",1
"40104",1
"40237",1
"40341",1
"40516",1
"40607",1
"40715",1
"40788",1
"40827",1
"40829",1
"40852",1
"40864",1
"40962",1
"41009",1
"41079",1
"41233",1
"41335",1
"41445",1
"41711",1
"41971",1
"42027",1
"42133",1
"42227",1
